Datetime,Value,Type,Login,Location,ID
2024-07-12 23:42:58.355798,1000,IN,keno_015,local1,023C87A78C3C4C8EA799
2024-07-12 23:36:55.889494,1000,IN,keno_015,local1,FF07BAC4182446E0A58D
2024-07-12 23:33:06.542503,1000,IN,keno_015,local1,A33DAF40E877421CB8E3
2024-07-12 23:29:07.842107,1000,IN,keno_015,local1,2EA7744485734FE4B709
2024-07-12 23:22:23.640785,1000,IN,keno_015,local1,A624F97F2DCB482F8BA3
2024-07-12 23:19:00.698652,1000,IN,keno_015,local1,D50C6A1566F34AEEB364
2024-07-12 23:11:55.024998,1000,IN,keno_015,local1,E62EADA1C81348A8921B
2024-07-12 23:08:38.648997,1000,IN,keno_015,local1,D6CE28C97E8C45EE8CD4
2024-07-12 23:07:39.801032,500,IN,keno_015,local1,894680616F6C49279D39
2024-07-12 23:05:23.301327,500,IN,keno_015,local1,9F5E3DCD543B4171B772
2024-07-12 23:04:56.484485,1000,IN,keno_015,local1,7E4EE0668B7F40A5AA58
2024-07-12 22:56:49.755103,500,IN,keno_015,local1,611535B74EEA41FB8B32
2024-07-12 22:41:51.512477,200,IN,keno_015,local1,8D572168CCCF40FDBEEF
2024-07-12 22:30:48.236012,500,IN,keno_015,local1,241F955ECC874C68ADDD
2024-07-12 22:30:19.757459,500,IN,keno_015,local1,6C0470B8E92D41698DF3
2024-07-12 22:27:13.877302,500,IN,keno_015,local1,9DEA68E79D6147EF9F92
2024-07-12 22:27:04.486684,500,IN,keno_015,local1,84CCBDB0A3DB4F88A87C
2024-07-12 22:26:59.021335,500,IN,keno_015,local1,2E6B80A5C06E48528071
2024-07-12 22:23:56.414721,500,IN,keno_015,local1,9C7CFE4EADEE4A1792C9
2024-07-12 22:23:01.435625,500,IN,keno_015,local1,5FFA8229F0AC4366BB37
2024-07-12 22:17:46.322290,500,IN,keno_015,local1,7102ADE9959D496F94AA
2024-07-12 22:13:45.937098,500,IN,keno_015,local1,EE7FA3F147FF479D847C
2024-07-12 22:12:00.885264,500,IN,keno_015,local1,3BF442A12D154F8B99F7
2024-07-12 22:10:09.816123,500,IN,keno_015,local1,66A64340361E4FA594E6
